train_number,種別,行き先,電鉄富山,稲荷町,栄町,不二越,大泉,南富山,朝菜町,上堀,小杉,布市,開発,月岡,大庄,上滝,大川寺,岩峅寺
601,普通,岩峅寺,5:28,5:32,5:33,5:34,5:36,5:40,5:42,5:44,5:45,5:46,5:48,5:53,5:55,5:58,6:00,6:04
603,普通,岩峅寺,5:54,5:58,5:59,6:00,6:02,6:06,6:08,6:10,6:11,6:12,6:14,6:24,6:26,6:29,6:31,6:35
605,普通,岩峅寺,6:28,6:32,6:33,6:34,6:36,6:40,6:42,6:44,6:45,6:46,6:48,6:56,6:58,7:01,7:03,7:07
607,普通,岩峅寺,7:03,7:07,7:08,7:09,7:11,7:15,7:17,7:19,7:20,7:21,7:23,7:31,7:33,7:36,7:38,7:42
609,普通,岩峅寺,7:43,7:48,7:49,7:50,7:52,7:56,7:58,8:00,8:01,8:02,8:04,8:10,8:12,8:15,8:17,8:21
611,普通,岩峅寺,8:11,8:17,8:18,8:19,8:21,8:25,8:27,8:29,8:30,8:31,8:33,8:39,8:41,8:44,8:46,8:50
613,普通,岩峅寺,9:18,9:22,9:23,9:24,9:26,9:30,9:32,9:34,9:35,9:36,9:38,9:43,9:45,9:48,9:50,9:54
615,普通,岩峅寺,10:45,10:49,10:50,10:51,10:53,10:57,10:59,11:01,11:02,11:03,11:05,11:10,11:12,11:15,11:17,11:21
617,普通,岩峅寺,11:45,11:49,11:50,11:51,11:53,11:57,11:59,12:01,12:02,12:03,12:05,12:10,12:12,12:15,12:17,12:21
619,普通,岩峅寺,12:45,12:49,12:50,12:51,12:53,12:57,12:59,13:01,13:02,13:03,13:05,13:10,13:12,13:15,13:17,13:21
621,普通,岩峅寺,13:45,13:49,13:50,13:51,13:53,13:57,13:59,14:01,14:02,14:03,14:05,14:10,14:12,14:15,14:17,14:21
623,普通,岩峅寺,14:45,14:49,14:50,14:51,14:53,14:57,14:59,15:01,15:02,15:03,15:05,15:10,15:12,15:15,15:17,15:21
625,普通,岩峅寺,15:22,15:26,15:27,15:28,15:30,15:34,15:36,15:38,15:39,15:40,15:42,15:47,15:49,15:52,15:54,15:58
627,普通,岩峅寺,15:47,15:51,15:52,15:53,15:55,15:59,16:01,16:03,16:04,16:05,16:07,16:20,16:22,16:25,16:27,16:31
629,普通,岩峅寺,16:22,16:26,16:27,16:28,16:30,16:34,16:36,16:38,16:39,16:40,16:42,16:49,16:51,16:54,16:56,17:00
631,普通,岩峅寺,16:52,16:56,16:57,16:58,17:00,17:04,17:06,17:08,17:09,17:10,17:12,17:19,17:21,17:24,17:26,17:30
633,普通,岩峅寺,17:22,17:26,17:27,17:28,17:30,17:34,17:36,17:38,17:39,17:40,17:42,17:49,17:51,17:54,17:56,18:00
635,普通,岩峅寺,17:52,17:56,17:57,17:58,18:00,18:04,18:06,18:08,18:09,18:10,18:12,18:19,18:21,18:24,18:26,18:30
637,普通,岩峅寺,18:22,18:26,18:27,18:28,18:30,18:34,18:36,18:38,18:39,18:40,18:42,18:49,18:51,18:54,18:56,19:00
639,普通,岩峅寺,18:52,18:56,18:57,18:58,19:00,19:04,19:06,19:08,19:09,19:10,19:12,19:19,19:21,19:24,19:26,19:30
641,普通,岩峅寺,19:22,19:26,19:27,19:28,19:30,19:34,19:36,19:38,19:39,19:40,19:42,19:49,19:51,19:54,19:56,20:00
643,普通,岩峅寺,19:52,19:56,19:57,19:58,20:00,20:04,20:06,20:08,20:09,20:10,20:12,20:19,20:21,20:24,20:26,20:30
645,普通,岩峅寺,20:22,20:26,20:27,20:28,20:30,20:34,20:36,20:38,20:39,20:40,20:42,20:49,20:51,20:54,20:56,21:00
647,普通,岩峅寺,21:22,21:26,21:27,21:28,21:30,21:34,21:36,21:38,21:39,21:40,21:42,21:47,21:49,21:52,21:54,21:58
649,普通,岩峅寺,22:25,22:29,22:30,22:31,22:33,22:37,22:39,22:41,22:42,22:43,22:45,22:50,22:52,22:55,22:57,23:01
