列車番号,601,603,605,607,609,611,613,615,617,619,621,623,625,627,629,631,633,635,637,639,641,643,645,647,649
電鉄富山,5:28,5:54,6:28,7:03,7:43,8:11,9:18,10:45,11:45,12:45,13:45,14:45,15:22,15:47,16:22,16:52,17:22,17:52,18:22,18:52,19:22,19:52,20:22,21:22,22:25
稲荷町,5:32,5:58,6:32,7:07,7:48,8:17,9:22,10:49,11:49,12:49,13:49,14:49,15:26,15:51,16:26,16:56,17:26,17:56,18:26,18:56,19:26,19:56,20:26,21:26,22:29
栄町,5:33,5:59,6:33,7:08,7:49,8:18,9:23,10:50,11:50,12:50,13:50,14:50,15:27,15:52,16:27,16:57,17:27,17:57,18:27,18:57,19:27,19:57,20:27,21:27,22:30
不二越,5:34,6:00,6:34,7:09,7:50,8:19,9:24,10:51,11:51,12:51,13:51,14:51,15:28,15:53,16:28,16:58,17:28,17:58,18:28,18:58,19:28,19:58,20:28,21:28,22:31
大泉,5:36,6:02,6:36,7:11,7:52,8:21,9:26,10:53,11:53,12:53,13:53,14:53,15:30,15:55,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:30,22:33
南富山,5:40,6:06,6:40,7:15,7:56,8:25,9:30,10:57,11:57,12:57,13:57,14:57,15:34,15:59,16:34,17:04,17:34,18:04,18:34,19:04,19:34,20:04,20:34,21:34,22:37
朝菜町,5:42,6:08,6:42,7:17,7:58,8:27,9:32,10:59,11:59,12:59,13:59,14:59,15:36,16:01,16:36,17:06,17:36,18:06,18:36,19:06,19:36,20:06,20:36,21:36,22:39
上堀,5:44,6:10,6:44,7:19,8:00,8:29,9:34,11:01,12:01,13:01,14:01,15:01,15:38,16:03,16:38,17:08,17:38,18:08,18:38,19:08,19:38,20:08,20:38,21:38,22:41
小杉,5:45,6:11,6:45,7:20,8:01,8:30,9:35,11:02,12:02,13:02,14:02,15:02,15:39,16:04,16:39,17:09,17:39,18:09,18:39,19:09,19:39,20:09,20:39,21:39,22:42
布市,5:46,6:12,6:46,7:21,8:02,8:31,9:36,11:03,12:03,13:03,14:03,15:03,15:40,16:05,16:40,17:10,17:40,18:10,18:40,19:10,19:40,20:10,20:40,21:40,22:43
開発,5:48,6:14,6:48,7:23,8:04,8:33,9:38,11:05,12:05,13:05,14:05,15:05,15:42,16:07,16:42,17:12,17:42,18:12,18:42,19:12,19:42,20:12,20:42,21:42,22:45
月岡,5:53,6:24,6:56,7:31,8:10,8:39,9:43,11:10,12:10,13:10,14:10,15:10,15:47,16:20,16:49,17:19,17:49,18:19,18:49,19:19,19:49,20:19,20:49,21:47,22:50
大庄,5:55,6:26,6:58,7:33,8:12,8:41,9:45,11:12,12:12,13:12,14:12,15:12,15:49,16:22,16:51,17:21,17:51,18:21,18:51,19:21,19:51,20:21,20:51,21:49,22:52
上滝,5:58,6:29,7:01,7:36,8:15,8:44,9:48,11:15,12:15,13:15,14:15,15:15,15:52,16:25,16:54,17:24,17:54,18:24,18:54,19:24,19:54,20:24,20:54,21:52,22:55
大川寺,6:00,6:31,7:03,7:38,8:17,8:46,9:50,11:17,12:17,13:17,14:17,15:17,15:54,16:27,16:56,17:26,17:56,18:26,18:56,19:26,19:56,20:26,20:56,21:54,22:57
岩峅寺,6:04,6:35,7:07,7:42,8:21,8:50,9:54,11:21,12:21,13:21,14:21,15:21,15:58,16:31,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:58,23:01
