列車番号,602,604,606,608,610,612,614,616,618,620,622,624,626,628,630,632,634,636,638,640,642,644,646,648,650
岩峅寺,5:43,6:13,6:45,7:20,7:58,8:27,9:33,10:33,11:33,12:33,13:33,14:33,15:37,16:10,16:40,17:10,17:40,18:10,18:40,19:10,19:40,20:10,20:40,21:10,22:13
大川寺,5:45,6:15,6:47,7:22,8:00,8:29,9:35,10:35,11:35,12:35,13:35,14:35,15:39,16:12,16:42,17:12,17:42,18:12,18:42,19:12,19:42,20:12,20:42,21:12,22:15
上滝,5:47,6:17,6:49,7:24,8:02,8:31,9:37,10:37,11:37,12:37,13:37,14:37,15:41,16:14,16:44,17:14,17:44,18:14,18:44,19:14,19:44,20:14,20:44,21:14,22:17
大庄,5:50,6:20,6:52,7:27,8:05,8:34,9:40,10:40,11:40,12:40,13:40,14:40,15:44,16:17,16:47,17:17,17:47,18:17,18:47,19:17,19:47,20:17,20:47,21:17,22:20
月岡,5:53,6:24,6:56,7:31,8:09,8:38,9:43,10:43,11:43,12:43,13:43,14:43,15:47,16:20,16:50,17:20,17:50,18:20,18:50,19:20,19:50,20:20,20:50,21:20,22:23
開発,5:56,6:27,6:59,7:34,8:12,8:41,9:46,10:46,11:46,12:46,13:46,14:46,15:50,16:23,16:53,17:23,17:53,18:23,18:53,19:23,19:53,20:23,20:53,21:23,22:26
布市,5:58,6:29,7:01,7:36,8:14,8:43,9:48,10:48,11:48,12:48,13:48,14:48,15:52,16:25,16:55,17:25,17:55,18:25,18:55,19:25,19:55,20:25,20:55,21:25,22:28
小杉,5:59,6:30,7:02,7:37,8:15,8:44,9:49,10:49,11:49,12:49,13:49,14:49,15:53,16:26,16:56,17:26,17:56,18:26,18:56,19:26,19:56,20:26,20:56,21:26,22:29
上堀,6:00,6:31,7:03,7:38,8:16,8:45,9:50,10:50,11:50,12:50,13:50,14:50,15:54,16:27,16:57,17:27,17:57,18:27,18:57,19:27,19:57,20:27,20:57,21:27,22:30
朝菜町,6:01,6:32,7:04,7:39,8:17,8:46,9:51,10:51,11:51,12:51,13:51,14:51,15:55,16:28,16:58,17:28,17:58,18:28,18:58,19:28,19:58,20:28,20:58,21:28,22:31
南富山,6:06,6:39,7:15,7:56,8:25,8:51,9:56,10:56,11:56,12:56,13:56,14:56,15:59,16:33,17:03,17:33,18:03,18:33,19:03,19:33,20:03,20:33,21:03,21:33,22:36
大泉,6:08,6:41,7:17,7:58,8:27,8:53,9:58,10:58,11:58,12:58,13:58,14:58,16:01,16:35,17:05,17:35,18:05,18:35,19:05,19:35,20:05,20:35,21:05,21:35,22:38
不二越,6:10,6:43,7:19,8:00,8:29,8:55,10:00,11:00,12:00,13:00,14:00,15:00,16:03,16:37,17:07,17:37,18:07,18:37,19:07,19:37,20:07,20:37,21:07,21:37,22:40
栄町,6:11,6:44,7:20,8:01,8:30,8:56,10:01,11:01,12:01,13:01,14:01,15:01,16:04,16:38,17:08,17:38,18:08,18:38,19:08,19:38,20:08,20:38,21:08,21:38,22:41
稲荷町,6:16,6:50,7:23,8:06,8:34,9:00,10:05,11:05,12:05,13:05,14:05,15:05,16:08,16:43,17:12,17:42,18:12,18:42,19:13,19:42,20:12,20:42,21:12,21:43,22:45
電鉄富山,6:19,6:53,7:27,8:09,8:37,9:03,10:08,11:08,12:08,13:08,14:08,15:08,16:11,16:46,17:15,17:45,18:15,18:45,19:16,19:45,20:15,20:45,21:15,21:46,22:48
