列車番号,TY1,8301,303,1305,307,1309,TY3,311,TY5,8313,AP2,8315,8317,8319,323,8325,327,329,333,337,343,347,1349,1351
電鉄富山,5:15,5:26,5:57,6:24,7:06,7:35,8:00,8:20,9:00,9:20, ,11:00,12:00,13:00,14:00,14:20,15:00,16:00,16:50,17:50,19:00,20:00,21:00,22:20
稲荷町,レ,5:29,6:00,6:27,7:09,7:38,レ,8:23,レ,9:23, ,11:03,12:03,13:03,14:03,14:23,15:03,16:03,16:53,17:53,19:03,20:03,21:03,22:24
新庄田中,レ,5:30,6:01,6:28,7:10,7:39,レ,8:24,レ,9:24, ,11:04,12:04,13:04,14:04,14:24,15:04,16:04,16:54,17:54,19:04,20:04,21:04,22:25
東新庄,レ,5:33,6:04,6:31,7:13,7:42,レ,8:27,レ,9:27, ,11:07,12:07,13:07,14:07,14:27,15:07,16:07,16:57,17:57,19:07,20:07,21:07,22:28
越中荏原,レ,5:35,6:06,6:33,7:15,7:44,レ,8:29,レ,9:29, ,11:09,12:09,13:09,14:09,14:29,15:09,16:09,16:59,17:59,19:09,20:09,21:09,22:30
越中三郷,レ,5:38,6:09,6:37,7:19,7:48,レ,8:33,レ,9:33, ,11:13,12:13,13:13,14:13,14:32,15:13,16:13,17:03,18:03,19:13,20:13,21:13,22:34
越中舟橋,レ,5:41,6:12,6:39,7:24,7:51,レ,8:35,レ,9:35, ,11:15,12:15,13:15,14:15,14:34,15:15,16:15,17:05,18:05,19:15,20:15,21:15,22:36
,5:28,5:43,6:14,6:41,7:26,7:53,8:13,8:37,9:13,9:37,10:14,11:17,12:17,13:17,14:17,14:36,15:17,16:17,17:07,18:07,19:17,20:17,21:17,22:38
寺田,5:29,5:44,6:15,6:48,7:29,7:59,8:15,8:38,9:15,9:40,10:20,11:20,12:20,13:20,14:20,14:38,15:20,16:18,17:10,18:09,19:20,20:19,21:19,22:39
稚子塚,レ,5:46,6:17,6:50,7:31,8:01,レ,8:40,レ,9:42,レ,11:22,12:22,13:22,14:22,14:40,15:22,16:20,17:12,18:11,19:22,20:21,21:21,22:41
田添,レ,5:47,6:18,6:51,7:32,8:02,レ,8:41,レ,9:43,レ,11:23,12:23,13:23,14:23,14:41,15:23,16:21,17:13,18:12,19:23,20:22,21:22,22:42
五百石,5:33,5:51,6:22,6:55,7:36,8:06,8:19,8:45,9:19,9:47,レ,11:27,12:27,13:27,14:27,14:45,15:27,16:25,17:19,18:16,19:27,20:26,21:26,22:46
榎町,レ,5:52,6:23,6:56,7:37,8:07,レ,8:46,レ,9:48,レ,11:28,12:28,13:28,14:28,14:46,15:28,16:26,17:20,18:17,19:28,20:27,21:27,22:47
下段,レ,5:54,6:25,6:58,7:39,8:09,レ,8:48,レ,9:50,レ,11:30,12:30,13:30,14:30,14:48,15:30,16:28,17:22,18:19,19:30,20:29,21:29,22:49
釜ヶ淵,レ,5:56,6:27,7:00,7:41,8:11,レ,8:50,レ,9:52,レ,11:32,12:32,13:32,14:32,14:50,15:32,16:30,17:24,18:21,19:32,20:31,21:31,22:51
沢中山,レ,5:58,6:29,7:02,7:43,8:13,レ,8:52,レ,9:54,レ,11:34,12:34,13:34,14:34,14:52,15:34,16:32,17:26,18:23,19:34,20:33,21:33,22:53
岩峅寺,5:41,6:02,6:40,7:06,7:50,8:17,8:27,8:57,9:28,9:58,レ,11:45,12:45,13:45,14:45,14:56,15:40,16:38,17:39,18:30,19:40,20:41,21:37,22:57
横江,レ,(止),6:44,(止),7:54,(止),レ,9:01,レ,10:02,レ,11:49,12:49,13:49,14:49,(止),15:44,16:42,17:43,18:34,19:44,20:45,(止),(止)
千垣,レ, ,6:50, ,8:00, ,レ,9:07,レ,10:08,レ,11:55,12:55,13:55,14:55, ,15:50,16:48,17:49,18:40,19:50,20:51, , 
有峰口,5:54, ,6:53, ,8:03, ,8:40,9:10,9:44,10:11,レ,11:59,12:59,13:59,14:59, ,15:54,16:51,17:53,18:44,19:54,20:54, , 
本宮,レ, ,6:56, ,8:06, ,レ,9:13,レ,10:14,レ,12:02,13:02,14:02,15:02, ,15:57,16:54,17:56,18:47,19:57,20:57, , 
立山,6:08, ,7:07, ,8:17, ,8:53,9:24,9:57,10:25,10:58,12:13,13:13,14:13,15:13, ,16:08,17:05,18:07,18:58,20:08,21:08,,
