列車番号,8304,306,1308,310,1312,314,316,8318,8322,8324,8326,8328,330,TY2,334,336,TY4,342,344,348,1352
立山,5:40,6:13, ,7:22, ,8:26,9:30,10:30,11:45,12:45,13:45,14:45,15:40,16:10,16:37,17:10,17:40,18:30,19:40,20:13, 
本宮,5:51,6:24, ,7:33, ,8:37,9:41,10:41,11:56,12:56,13:56,14:56,15:51,レ,16:48,17:21,レ,18:41,19:51,20:24, 
有峰口,5:54,6:27, ,7:36, ,8:40,9:44,10:44,11:59,12:59,13:59,14:59,15:54,16:23,16:51,17:24,17:53,18:44,19:54,20:27, 
千垣,5:56,6:29, ,7:38, ,8:42,9:46,10:46,12:01,13:01,14:01,15:01,15:56,レ,16:53,17:26,レ,18:46,19:56,20:29, 
横江,6:02,6:35, ,7:44, ,8:48,9:52,10:52,12:07,13:07,14:07,15:07,16:02,レ,16:59,17:32,レ,18:52,20:02,20:35, 
岩峅寺,6:09,6:42,7:10,7:50,8:32,8:56,9:58,11:00,12:12,13:12,14:12,15:12,16:10,16:37,17:08,17:38,18:07,19:00,20:10,20:41,21:49
沢中山,6:11,6:44,7:12,7:52,8:34,8:58,10:00,11:02,12:14,13:14,14:14,15:14,16:12,レ,17:10,17:40,レ,19:02,20:12,20:43,21:51
釜ヶ淵,6:13,6:46,7:14,7:54,8:36,9:00,10:02,11:04,12:16,13:16,14:16,15:16,16:14,レ,17:12,17:42,レ,19:04,20:14,20:45,21:53
下段,6:15,6:48,7:16,7:56,8:38,9:02,10:04,11:06,12:18,13:18,14:18,15:18,16:16,レ,17:14,17:44,レ,19:06,20:16,20:47,21:55
榎町,6:17,6:50,7:18,7:58,8:40,9:04,10:06,11:08,12:20,13:20,14:20,15:20,16:18,レ,17:16,17:46,レ,19:08,20:18,20:49,21:57
五百石,6:21,6:54,7:21,8:05,8:44,9:07,10:09,11:11,12:26,13:26,14:26,15:26,16:24,16:45,17:19,17:49,18:15,19:11,20:25,20:52,22:00
田添,6:23,6:56,7:23,8:07,8:46,9:09,10:11,11:13,12:28,13:28,14:28,15:28,16:26,レ,17:21,17:51,レ,19:13,20:27,20:54,22:02
稚子塚,6:24,6:57,7:24,8:08,8:47,9:10,10:12,11:14,12:29,13:29,14:29,15:29,16:27,レ,17:22,17:52,レ,19:14,20:28,20:55,22:03
寺田,6:32,7:02,7:30,8:15,8:52,9:16,10:19,11:25,12:37,13:37,14:37,15:37,16:37,16:51,17:29,17:57,18:21,19:25,20:34,20:59,22:07
越中舟橋,6:34,7:04,7:32,8:17,8:54,9:18,10:21,11:27,12:39,13:39,14:39,15:39,16:39,レ,17:31,17:59,レ,19:27,20:36,21:01,22:09
越中三郷,6:37,7:07,7:36,8:20,8:57,9:21,10:24,11:30,12:43,13:43,14:43,15:43,16:43,レ,17:34,18:03,レ,19:30,20:43,21:04,22:13
越中荏原,6:40,7:10,7:40,8:23,9:00,9:24,10:27,11:33,12:46,13:46,14:46,15:46,16:46,レ,17:39,18:06,レ,19:33,20:46,21:09,22:16
東新庄,6:43,7:13,7:42,8:27,9:06,9:27,10:30,11:37,12:49,13:49,14:49,15:49,16:49,レ,17:41,18:09,レ,19:37,20:49,21:11,22:19
新庄田中,6:44,7:14,7:43,8:28,9:07,9:28,10:31,11:38,12:50,13:50,14:50,15:50,16:50,レ,17:42,18:10,レ,19:38,20:50,21:12,22:20
稲荷町,6:47,7:17,7:46,8:31,9:10,9:31,10:34,11:41,12:53,13:53,14:53,15:53,16:53,レ,17:45,18:14,レ,19:41,20:53,21:15,22:24
電鉄富山,6:50,7:20,7:50,8:34,9:13,9:34,10:37,11:44,12:56,13:56,14:56,15:56,16:56,17:07,17:49,18:17,18:35,19:44,20:56,21:19,22:27
