train_number	種別	行き先	電鉄富山	稲荷町	新庄田中	東新庄	越中荏原	越中三郷	越中舟橋	寺田	稚子塚	田添	五百石	榎町	下段	釜ヶ淵	沢中山	岩峅寺	横江	千垣	有峰口	本宮	立山
8301	普通	岩峅寺	5:26:00	5:29	5:30	5:33	5:35	5:38	5:41	5:44:00	5:46	5:47	5:52:00	5:53	5:55	5:57	5:59	6:03:00	NaN	NaN	NaN	NaN	NaN
303	普通	立山	5:57:00	6:00	6:01	6:04	6:07	6:10	6:12	6:16:00	6:18	6:19	6:23:00	6:24	6:26	6:28	6:30	6:40:00	6:44	6:50	6:53:00	6:56	7:07:00
1305	普通	岩峅寺	6:24:00	6:27	6:28	6:31	6:33	6:37	6:39	6:48:00	6:50	6:51	6:55:00	6:56	6:58	7:00	7:02	7:06:00	NaN	NaN	NaN	NaN	NaN
307	普通	立山	7:06:00	7:09	7:10	7:13	7:17	7:20	7:23	7:29:00	7:31	7:32	7:36:00	7:37	7:39	7:41	7:43	7:50:00	7:54	8:00	8:03:00	8:06	8:17:00
1309	普通	岩峅寺	7:37:00	7:40	7:41	7:44	7:46	7:50	7:52	7:59:00	8:01	8:02	8:06:00	8:07	8:09	8:11	8:13	8:17:00	NaN	NaN	NaN	NaN	NaN
311	普通	立山	8:20:00	8:23	8:24	8:27	8:29	8:33	8:35	8:38:00	8:40	8:41	8:45:00	8:46	8:48	8:50	8:52	8:57:00	9:01	 	9:10:00	9:13	9:24:00
8313	普通	岩峅寺	9:20:00	9:23	9:24	9:28	9:30	9:34	9:36	9:39:00	9:41	9:42	9:46:00	9:47	9:49	9:51	9:53	10:00:00	NaN	NaN	NaN	NaN	NaN
8315	普通	岩峅寺	10:50:00	10:53	10:54	10:57	10:59	11:03	11:05	11:09:00	11:11	11:12	11:16:00	11:17	11:19	11:21	11:23	11:30:00	NaN	NaN	NaN	NaN	NaN
8317	普通	岩峅寺	11:50:00	11:53	11:54	11:57	11:59	12:03	12:05	12:09:00	12:11	12:12	12:16:00	12:17	12:19	12:21	12:23	12:30:00	NaN	NaN	NaN	NaN	NaN
8319	普通	岩峅寺	12:50:00	12:53	12:54	12:57	12:59	13:03	13:05	13:09:00	13:11	13:12	13:16:00	13:17	13:19	13:21	13:23	13:30:00	NaN	NaN	NaN	NaN	NaN
8321	普通	岩峅寺	13:22:00	13:25	13:26	13:29	13:31	13:35	13:37	13:48:00	13:50	13:51	13:55:00	13:56	13:58	14:00	14:02	14:06:00	NaN	NaN	NaN	NaN	NaN
323	普通	立山	13:50:00	13:53	13:54	13:57	13:59	14:03	14:05	14:09:00	14:11	14:12	14:16:00	14:17	14:19	14:21	14:23	14:28:00	14:32:00	14:38:00	14:41:00	14:44:00	14:55:00
8325	普通	岩峅寺	14:48:00	14:51	14:52	14:55	14:57	15:01	15:03	15:09:00	15:11	15:12	15:16:00	15:17	15:19	15:21	15:23	15:30:00	NaN	NaN	NaN	NaN	NaN
327	普通	立山	15:20:00	15:23	15:24	15:27	15:29	15:33	15:35	15:39:00	15:41	15:42	15:46:00	15:47	15:49	15:51	15:53	16:02:00	16:06	16:12	16:16:00	16:19:00	16:30:00
1329	普通	岩峅寺	15:50:00	15:53	15:54	15:57	15:59	16:03	16:05	16:10:00	16:12	16:13	16:17:00	16:18	16:20	16:22	16:24	16:28:00	NaN	NaN	NaN	NaN	NaN
331	普通	立山	16:25:00	16:28	16:29	16:32	16:34	16:38	16:40	16:43:00	16:45	16:46	16:50:00	16:51	16:53	16:55	16:57	17:05:00	17:09	17:15	17:18:00	17:21	17:32:00
1333	普通	岩峅寺	16:55:00	16:58	16:59	17:02	17:04	17:08	17:10	17:14:00	17:16	17:17	17:21:00	17:22	17:24	17:26	17:28	17:32:00	NaN	NaN	NaN	NaN	NaN
335	普通	立山	17:25:00	17:28	17:29	17:32	17:34	17:38	17:40	17:45:00	17:47	17:48	17:52:00	17:53	17:55	17:57	17:59	18:05:00	18:09	18:15	18:18:00	18:21	
1337	普通	岩峅寺	17:55:00	17:58	17:59	18:02	18:04	18:08	18:10	18:17:00	18:19	18:20	18:24:00	18:25	18:27	18:29	18:31	18:35:00	NaN	NaN	NaN	NaN	NaN
339	普通	立山	18:25:00	18:28	18:29	18:32	18:34	18:38	18:40	18:43:00	18:45	18:46	18:51:00	18:52	18:54	18:56	18:58	19:05:00	19:09	19:15	19:18:00	19:21:00	19:32:00
1341	普通	岩峅寺	18:55:00	18:58	18:59	19:02	19:04	19:08	19:10	19:13:00	19:15	19:16	19:20:00	19:21	19:23	19:25	19:27	19:31:00	NaN	NaN	NaN	NaN	NaN
343	普通	立山	19:25:00	19:28	19:29	19:32	19:34	19:38	19:40	19:46:00	19:48	19:49	19:53:00	19:54	19:56	19:58	20:00	20:05:00	20:09	20:15	20:18:00	20:21	20:32:00
1345	普通	岩峅寺	19:55:00	19:58	19:59	20:02	20:04	20:08	20:10	20:13:00	20:15	20:16	20:20:00	20:21	20:23	20:25	20:27	20:31:00	NaN	NaN	NaN	NaN	NaN
347	普通	立山	20:25:00	20:28	20:29	20:32	20:34	20:38	20:40	20:43:00	20:45	20:46	20:50:00	20:51	20:53	20:55	20:57	21:05:00	21:09	21:15	21:18:00	21:21	21:32:00
1349	普通	岩峅寺	21:05:00	21:08	21:09	21:12	21:14	21:18	21:20	21:24:00	21:26	21:27	21:31:00	21:32	21:34	21:36	21:38	21:42:00	NaN	NaN	NaN	NaN	NaN
1351	普通	岩峅寺	22:20:00	22:23	22:24	22:27	22:29	22:33	22:35	22:38:00	22:40	22:41	22:45:00	22:46	22:48	22:50	22:52	22:56:00	NaN	NaN	NaN	NaN	NaN
